,Order Date,Category,Item Total,Number Items,xlabel,color,niceDate
148,2014-10-22,Toy,158.03,1,Oct 14,yellow,201410
149,2014-10-28,0,35.91,1,Oct 14,lightpink,201410
150,2014-10-28,Office Product,19.99,1,Oct 14,tomato,201410
151,2014-10-28,Toy,11.59,1,Oct 14,yellow,201410
152,2014-11-03,Kitchen,115.28999999999999,3,Nov 14,crimson,201411
153,2014-11-03,Paperback,34.76,3,Nov 14,blue,201411
154,2014-11-13,Health and Beauty,7.19,1,Nov 14,olive,201411
155,2014-11-13,Paperback,56.09,2,Nov 14,blue,201411
156,2014-11-24,Hardcover,21.54,1,Nov 14,lime,201411
157,2014-11-25,Paperback,17.650000000000002,3,Nov 14,blue,201411
158,2014-11-28,0,11.99,1,Nov 14,lightpink,201411
159,2014-11-28,Misc.,13.98,1,Nov 14,darkcyan,201411
160,2014-11-30,Paperback,10.37,1,Nov 14,blue,201411
161,2014-12-02,Electronics,15.31,1,Dec 14,gold,201412
162,2014-12-02,Lawn & Patio,49.33,1,Dec 14,darkseagreen,201412
163,2014-12-02,Toy,14.85,1,Dec 14,yellow,201412
164,2014-12-02,Video Game,21.64,1,Dec 14,aqua,201412
165,2014-12-04,Print Magazine,5.0,1,Dec 14,springgreen,201412
166,2014-12-06,Calendar,7.71,1,Dec 14,darkorange,201412
167,2014-12-06,Diary,14.71,2,Dec 14,khaki,201412
168,2014-12-06,Paperback,56.45,4,Dec 14,blue,201412
169,2014-12-06,Print Magazine,89.97,3,Dec 14,springgreen,201412
170,2014-12-10,Paperback,11.7,1,Dec 14,blue,201412
171,2015-01-01,Unknown Binding,4.83,1,Jan 15,dimgrey,201501
172,2015-01-08,Shoes,37.83,1,Jan 15,mediumorchid,201501
173,2015-01-11,Single Issue Magazine,9.95,1,Jan 15,gainsboro,201501
174,2015-01-11,Unknown Binding,5.39,1,Jan 15,dimgrey,201501
175,2015-01-13,Blu-ray,9.87,1,Jan 15,deeppink,201501
176,2015-01-13,Hardcover,24.54,1,Jan 15,lime,201501
177,2015-01-13,Pamphlet,5.49,1,Jan 15,rosybrown,201501
178,2015-01-13,Paperback,88.37,4,Jan 15,blue,201501
179,2015-01-13,Tools & Home Improvement,20.99,1,Jan 15,tan,201501
180,2015-01-17,Paperback,25.48,2,Jan 15,blue,201501
181,2015-02-08,0,35.21,2,Feb 15,lightpink,201502
182,2015-02-08,Apparel,15.59,1,Feb 15,mediumspringgreen,201502
183,2015-02-14,Single Issue Magazine,10.99,1,Feb 15,gainsboro,201502
184,2015-02-22,0,5.5,1,Feb 15,lightpink,201502
185,2015-02-24,Single Issue Magazine,7.3,1,Feb 15,gainsboro,201502
186,2015-02-27,0,16.0,1,Feb 15,lightpink,201502
187,2015-02-27,Baby Product,16.0,1,Feb 15,darkviolet,201502
188,2015-02-27,Single Issue Magazine,9.24,2,Feb 15,gainsboro,201502
189,2015-03-02,0,22.0,4,Mar 15,lightpink,201503
190,2015-03-10,0,52.0,3,Mar 15,lightpink,201503
191,2015-03-13,Misc.,31.9,2,Mar 15,darkcyan,201503
192,2015-03-20,0,46.940000000000005,2,Mar 15,lightpink,201503
193,2015-03-20,Grocery,34.4,2,Mar 15,midnightblue,201503
194,2015-03-20,Health and Beauty,12.76,1,Mar 15,olive,201503
195,2015-03-20,Kitchen,4.49,1,Mar 15,crimson,201503
196,2015-03-20,Misc.,11.94,2,Mar 15,darkcyan,201503
197,2015-03-20,Office Product,10.84,2,Mar 15,tomato,201503
198,2015-03-26,Paperback,53.98,1,Mar 15,blue,201503
199,2015-03-31,Accessory,12.99,1,Mar 15,coral,201503
200,2015-03-31,Hardcover,7.84,1,Mar 15,lime,201503
201,2015-03-31,Kitchen,14.06,1,Mar 15,crimson,201503
202,2015-03-31,Paperback,3.19,1,Mar 15,blue,201503
203,2015-03-31,Wireless Phone Accessory,9.95,1,Mar 15,darkgreen,201503
204,2015-05-21,Hardcover,0.01,1,May 15,lime,201505
205,2015-05-21,Paperback,50.04,2,May 15,blue,201505
206,2015-05-25,0,16.5,3,May 15,lightpink,201505
207,2015-05-25,Apparel,5.5,1,May 15,mediumspringgreen,201505
208,2015-06-05,0,11.0,2,Jun 15,lightpink,201506
209,2015-06-05,Apparel,5.5,1,Jun 15,mediumspringgreen,201506
210,2015-06-22,0,12.99,1,Jun 15,lightpink,201506
211,2015-06-22,Single Issue Magazine,6.99,1,Jun 15,gainsboro,201506
212,2015-07-01,0,8.95,1,Jul 15,lightpink,201507
213,2015-07-06,Hardcover,6.15,1,Jul 15,lime,201507
214,2015-07-06,Paperback,5.98,1,Jul 15,blue,201507
215,2015-08-03,0,27.43,1,Aug 15,lightpink,201508
216,2015-08-04,Electronics,24.99,1,Aug 15,gold,201508
217,2015-08-07,Hardcover,12.98,1,Aug 15,lime,201508
218,2015-08-07,Office Product,7.36,1,Aug 15,tomato,201508
219,2015-08-15,Baby Product,270.61,1,Aug 15,darkviolet,201508
220,2015-08-25,Kitchen,14.99,1,Aug 15,crimson,201508
221,2015-09-03,Blu-ray,9.95,2,Sep 15,deeppink,201509
222,2015-09-21,Kitchen,5.4,1,Sep 15,crimson,201509
223,2015-09-21,Personal Computers,42.830000000000005,2,Sep 15,lightskyblue,201509
224,2015-09-21,Tools & Home Improvement,65.41,2,Sep 15,tan,201509
225,2015-10-09,0,37.25,1,Oct 15,lightpink,201510
226,2015-10-09,Automotive,22.49,1,Oct 15,mediumvioletred,201510
227,2015-10-09,Blu-ray,15.209999999999999,2,Oct 15,deeppink,201510
228,2015-10-09,DVD,10.77,1,Oct 15,fuchsia,201510
229,2015-10-09,Health and Beauty,19.34,1,Oct 15,olive,201510
230,2015-10-09,Paperback,9.809999999999999,2,Oct 15,blue,201510
231,2015-10-13,Blu-ray,17.560000000000002,2,Oct 15,deeppink,201510
232,2015-10-18,Blu-ray,19.439999999999998,2,Oct 15,deeppink,201510
233,2015-10-18,Wireless Phone Accessory,47.5,1,Oct 15,darkgreen,201510
234,2015-10-19,Electronics,4.63,1,Oct 15,gold,201510
235,2015-10-19,Health and Beauty,16.81,1,Oct 15,olive,201510
236,2015-11-02,0,48.94,2,Nov 15,lightpink,201511
237,2015-11-03,Health and Beauty,76.96,4,Nov 15,olive,201511
238,2015-11-05,0,14.95,1,Nov 15,lightpink,201511
239,2015-11-05,Health and Beauty,9.99,1,Nov 15,olive,201511
240,2015-11-16,Paperback,8.36,1,Nov 15,blue,201511
241,2015-11-30,0,26.68,1,Nov 15,lightpink,201511
242,2015-11-30,Accessory,10.71,1,Nov 15,coral,201511
243,2015-11-30,Jewelry,45.98,2,Nov 15,paleturquoise,201511
244,2015-11-30,Toy,551.8900000000001,18,Nov 15,yellow,201511
245,2015-12-09,Apparel,30.58,2,Dec 15,mediumspringgreen,201512
246,2015-12-22,Accessory,32.99,1,Dec 15,coral,201512
247,2015-12-22,Apparel,99.99,1,Dec 15,mediumspringgreen,201512
248,2015-12-22,Electronics,80.97999999999999,3,Dec 15,gold,201512
249,2015-12-22,Kitchen,22.99,1,Dec 15,crimson,201512
250,2015-12-22,Wireless Phone Accessory,88.67,2,Dec 15,darkgreen,201512
251,2016-03-21,Paperback,19.83,2,Mar 16,blue,201603
252,2016-03-28,0,9.87,1,Mar 16,lightpink,201603
253,2016-03-28,Electronics,6.95,1,Mar 16,gold,201603
254,2016-03-28,Health and Beauty,9.99,1,Mar 16,olive,201603
255,2016-03-28,Wireless Phone Accessory,39.9,2,Mar 16,darkgreen,201603
256,2016-03-29,Blu-ray,21.64,1,Mar 16,deeppink,201603
257,2016-03-29,Paperback,8.49,1,Mar 16,blue,201603
258,2016-04-07,Paperback,35.07,3,Apr 16,blue,201604
259,2016-04-15,0,10.25,1,Apr 16,lightpink,201604
260,2016-04-15,Paperback,9.92,1,Apr 16,blue,201604
261,2016-04-30,Wireless Phone Accessory,27.98,2,Apr 16,darkgreen,201604
262,2016-07-12,CD-ROM,52.46,1,Jul 16,darkslateblue,201607
263,2016-07-12,Personal Computers,24.99,1,Jul 16,lightskyblue,201607
264,2016-07-30,Tools & Home Improvement,32.95,1,Jul 16,tan,201607
265,2016-08-10,Apparel,17.98,1,Aug 16,mediumspringgreen,201608
266,2016-08-10,Electronics,12.36,1,Aug 16,gold,201608
267,2016-08-10,Health and Beauty,10.89,1,Aug 16,olive,201608
268,2016-08-15,Paperback,17.05,2,Aug 16,blue,201608
269,2016-08-15,Spiral-bound,11.9,1,Aug 16,lavender,201608
270,2016-08-17,Accessory,48.7,1,Aug 16,coral,201608
271,2016-08-25,Sports,11.36,1,Aug 16,hotpink,201608
272,2016-08-26,Paperback,13.85,1,Aug 16,blue,201608
273,2016-09-13,Video Game,18.39,1,Sep 16,aqua,201609
274,2016-11-16,Paperback,19.52,2,Nov 16,blue,201611
275,2016-11-28,Tools & Home Improvement,9.63,1,Nov 16,tan,201611
276,2016-12-07,0,29.45,1,Dec 16,lightpink,201612
277,2016-12-07,Apparel,27.9,1,Dec 16,mediumspringgreen,201612
278,2016-12-07,Toy,231.73,9,Dec 16,yellow,201612
279,2016-12-17,0,6.99,1,Dec 16,lightpink,201612
280,2016-12-21,Video Game,19.27,1,Dec 16,aqua,201612
281,2016-12-21,Wireless Phone Accessory,19.95,1,Dec 16,darkgreen,201612
282,2017-01-02,0,35.87,2,Jan 17,lightpink,201701
283,2017-01-03,Shoes,79.95,1,Jan 17,mediumorchid,201701
284,2017-01-04,Apparel,43.28,1,Jan 17,mediumspringgreen,201701
285,2017-01-06,Health and Beauty,23.75,2,Jan 17,olive,201701
286,2017-01-16,Grocery,18.75,1,Jan 17,midnightblue,201701
287,2017-01-16,Health and Beauty,25.0,1,Jan 17,olive,201701
288,2017-01-30,Office Product,12.99,1,Jan 17,tomato,201701
289,2017-02-09,0,15.97,1,Feb 17,lightpink,201702
290,2017-02-09,Health and Beauty,14.89,1,Feb 17,olive,201702
291,2017-02-12,Grocery,19.43,1,Feb 17,midnightblue,201702
292,2017-02-21,Accessory,8.49,1,Feb 17,coral,201702
293,2017-02-21,Electronics,23.95,1,Feb 17,gold,201702
294,2017-02-21,Health and Beauty,39.980000000000004,2,Feb 17,olive,201702
295,2017-02-21,Paperback,16.49,1,Feb 17,blue,201702
296,2017-02-21,Personal Computers,48.57,1,Feb 17,lightskyblue,201702
297,2017-02-21,Wireless Phone Accessory,12.99,1,Feb 17,darkgreen,201702
298,2017-02-26,Health and Beauty,14.82,1,Feb 17,olive,201702
299,2017-02-28,Health and Beauty,15.95,1,Feb 17,olive,201702
300,2017-02-28,Kitchen,13.129999999999999,2,Feb 17,crimson,201702
301,2017-03-29,0,8.2,1,Mar 17,lightpink,201703
302,2017-03-29,Health and Beauty,41.17,2,Mar 17,olive,201703
303,2017-03-29,Kitchen,23.759999999999998,2,Mar 17,crimson,201703
304,2017-03-29,Personal Computers,35.5,2,Mar 17,lightskyblue,201703
305,2017-04-04,0,24.45,1,Apr 17,lightpink,201704
306,2017-04-05,Health and Beauty,14.95,1,Apr 17,olive,201704
307,2017-04-08,Card Book,10.24,1,Apr 17,moccasin,201704
308,2017-04-20,0,36.97,2,Apr 17,lightpink,201704
309,2017-04-20,Health and Beauty,25.0,1,Apr 17,olive,201704
310,2017-04-27,Grocery,13.33,1,Apr 17,midnightblue,201704
311,2017-04-27,Hardcover,19.05,1,Apr 17,lime,201704
312,2017-04-27,Paperback,16.18,1,Apr 17,blue,201704
313,2017-04-27,Personal Computers,27.06,1,Apr 17,lightskyblue,201704
314,2017-04-28,Paperback,13.25,1,Apr 17,blue,201704
315,2017-05-03,Health and Beauty,26.42,1,May 17,olive,201705
316,2017-05-03,Paperback,36.82,3,May 17,blue,201705
317,2017-05-07,Health and Beauty,16.95,1,May 17,olive,201705
318,2017-05-07,Personal Computers,6.4,1,May 17,lightskyblue,201705
319,2017-05-08,Health and Beauty,21.99,1,May 17,olive,201705
320,2017-05-10,Electronics,6.99,1,May 17,gold,201705
321,2017-05-10,Office Product,9.43,1,May 17,tomato,201705
322,2017-05-15,Accessory,21.18,1,May 17,coral,201705
323,2017-05-22,0,16.49,1,May 17,lightpink,201705
324,2017-05-22,Health and Beauty,53.56,3,May 17,olive,201705
325,2017-05-30,0,26.23,1,May 17,lightpink,201705
326,2017-05-30,Health and Beauty,58.14,2,May 17,olive,201705
327,2017-06-01,Health and Beauty,41.84,2,Jun 17,olive,201706
328,2017-06-14,Misc.,10.99,1,Jun 17,darkcyan,201706
329,2017-06-15,Health and Beauty,24.99,1,Jun 17,olive,201706
330,2017-06-15,Paperback,94.42,3,Jun 17,blue,201706
331,2017-06-16,Health and Beauty,7.49,1,Jun 17,olive,201706
332,2017-06-16,Misc.,16.45,1,Jun 17,darkcyan,201706
333,2017-06-16,Sports,12.95,1,Jun 17,hotpink,201706
334,2017-06-26,Health and Beauty,15.95,1,Jun 17,olive,201706
335,2017-06-29,Health and Beauty,26.59,1,Jun 17,olive,201706
336,2017-07-07,Health and Beauty,36.4,3,Jul 17,olive,201707
337,2017-07-11,0,16.99,1,Jul 17,lightpink,201707
338,2017-07-11,Hardcover,2.0,1,Jul 17,lime,201707
339,2017-07-11,Health and Beauty,7.99,1,Jul 17,olive,201707
340,2017-07-11,Kitchen,8.41,1,Jul 17,crimson,201707
341,2017-07-11,Misc.,35.09,1,Jul 17,darkcyan,201707
342,2017-07-11,Personal Computers,309.28,2,Jul 17,lightskyblue,201707
343,2017-07-11,Video Game,32.05,1,Jul 17,aqua,201707
344,2017-07-14,Accessory,12.19,1,Jul 17,coral,201707
345,2017-07-14,Wireless Phone Accessory,6.95,1,Jul 17,darkgreen,201707
346,2017-07-17,Electronics,49.99,1,Jul 17,gold,201707
347,2017-07-17,Health and Beauty,29.97,1,Jul 17,olive,201707
348,2017-07-26,Health and Beauty,14.95,1,Jul 17,olive,201707
349,2017-07-30,Health and Beauty,26.59,1,Jul 17,olive,201707
350,2017-08-08,0,11.99,1,Aug 17,lightpink,201708
351,2017-08-09,0,12.99,1,Aug 17,lightpink,201708
352,2017-08-22,0,99.99,1,Aug 17,lightpink,201708
353,2017-08-22,Personal Computers,162.36,1,Aug 17,lightskyblue,201708
354,2017-08-25,0,40.97,2,Aug 17,lightpink,201708
355,2017-08-25,Apparel,25.97,2,Aug 17,mediumspringgreen,201708
356,2017-08-25,Kitchen,9.02,1,Aug 17,crimson,201708
357,2017-08-30,Health and Beauty,26.59,1,Aug 17,olive,201708
358,2017-09-01,Health and Beauty,15.95,1,Sep 17,olive,201709
359,2017-09-01,Kitchen,8.61,1,Sep 17,crimson,201709
360,2017-09-12,0,27.99,1,Sep 17,lightpink,201709
361,2017-09-25,Kitchen,14.95,1,Sep 17,crimson,201709
362,2017-09-25,Office Product,17.28,1,Sep 17,tomato,201709
363,2017-09-29,Health and Beauty,26.59,1,Sep 17,olive,201709
364,2017-10-02,0,61.870000000000005,3,Oct 17,lightpink,201710
365,2017-10-02,Kitchen,6.8,1,Oct 17,crimson,201710
366,2017-10-03,Paperback,13.05,1,Oct 17,blue,201710
367,2017-10-10,Home,11.99,1,Oct 17,maroon,201710
368,2017-10-18,0,14.99,1,Oct 17,lightpink,201710
369,2017-10-18,Kitchen,34.63,3,Oct 17,crimson,201710
370,2017-10-21,0,6.99,1,Oct 17,lightpink,201710
371,2017-10-21,Apparel,101.37,7,Oct 17,mediumspringgreen,201710
372,2017-10-21,Misc.,42.88,3,Oct 17,darkcyan,201710
373,2017-10-21,Toy,8.95,1,Oct 17,yellow,201710
374,2017-10-26,Hardcover,8.96,1,Oct 17,lime,201710
375,2017-10-26,Paperback,16.41,2,Oct 17,blue,201710
376,2017-10-29,0,7.91,1,Oct 17,lightpink,201710
377,2017-10-30,Health and Beauty,26.59,1,Oct 17,olive,201710
378,2017-11-02,Kitchen,81.09,1,Nov 17,crimson,201711
379,2017-11-03,Kitchen,24.99,1,Nov 17,crimson,201711
380,2017-11-04,0,3.0,1,Nov 17,lightpink,201711
381,2017-11-05,Ecard Gift Certificate,30.0,2,Nov 17,black,201711
382,2017-11-12,0,2.79,1,Nov 17,lightpink,201711
383,2017-11-12,Health and Beauty,24.22,2,Nov 17,olive,201711
384,2017-11-12,Misc.,19.98,2,Nov 17,darkcyan,201711
385,2017-11-12,Wireless Phone Accessory,10.45,1,Nov 17,darkgreen,201711
386,2017-11-13,0,9.99,1,Nov 17,lightpink,201711
387,2017-11-13,Health and Beauty,5.99,1,Nov 17,olive,201711
388,2017-11-13,Wireless Phone Accessory,24.54,2,Nov 17,darkgreen,201711
389,2017-11-15,Misc.,29.95,1,Nov 17,darkcyan,201711
390,2017-11-23,0,31.939999999999998,2,Nov 17,lightpink,201711
391,2017-11-23,Kitchen,20.0,1,Nov 17,crimson,201711
392,2017-11-23,Office Product,7.99,1,Nov 17,tomato,201711
393,2017-11-23,Toy,8.46,1,Nov 17,yellow,201711
394,2017-11-25,Tools & Home Improvement,10.34,1,Nov 17,tan,201711
395,2017-11-29,Health and Beauty,23.87,1,Nov 17,olive,201711
396,2017-11-29,Kitchen,10.0,1,Nov 17,crimson,201711
397,2017-11-29,Misc.,136.0,1,Nov 17,darkcyan,201711
398,2017-11-29,Tools & Home Improvement,69.27000000000001,2,Nov 17,tan,201711
399,2017-11-29,Toy,29.0,1,Nov 17,yellow,201711
400,2017-12-01,Health and Beauty,42.97,3,Dec 17,olive,201712
401,2017-12-01,Misc.,39.9,1,Dec 17,darkcyan,201712
402,2017-12-01,Office Product,5.51,1,Dec 17,tomato,201712
403,2017-12-02,Apparel,39.98,1,Dec 17,mediumspringgreen,201712
404,2017-12-02,Misc.,0.0,1,Dec 17,darkcyan,201712
405,2017-12-07,Health and Beauty,10.98,1,Dec 17,olive,201712
406,2017-12-07,Office Product,5.53,1,Dec 17,tomato,201712
